"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Module1";"Raspberry-Pi-4-Compute-Module";1;"ComputeModule4";;;
2;"J11";"USB_Micro-B_EDAC_UCON00686";1;"USB_OTG";;;
3;"R15,R7";"R_0402_1005Metric";2;"12K 1%";;;
4;"J14,J6";"Molex_052610-1572_2x15-1MP_P1.0mm_Vertical";2;"Conn_02x15_Counter_Clockwise";;;
5;"R4,R3";"R_0402_1005Metric";2;"1k";;;
6;"C4,C3";"C_0402_1005Metric";2;"27pF";;;
7;"J2,J1";"HDMI_Micro-D_Molex_46765-1x01";2;"0467651001";;;
8;"C9,C20,C10,C11,C12,C8,C21,C7,C2";"C_0402_1005Metric";9;"100n";;;
9;"R13,R12,R16,R14";"R_0402_1005Metric";4;"36K 1%";;;
10;"R19,R23,R22";"R_0402_1005Metric";3;"4.7k";;;
11;"U6";"MSOP-10_3x3mm_P0.5mm";1;"FSUSB42MUX";;;
12;"TP2,TP1";"TestPoint_Pad_2.0x2.0mm";2;"TestPoint";;;
13;"H4";"MountingHole_2.7mm_M2.5";1;"hole";;;
14;"C18,C15,C5,C16,C17,C13,C6,C1,C19";"C_0805_2012Metric";9;"10u";;;
15;"D4,D3";"D_SOD-123";2;"D_Zener";;;
16;"U5";"TRJG0926HENL";1;"MagJack-A70-112-331N126";;;
17;"U8,U3,U4";"USON-10_2.5x1.0mm_P0.5mm";3;"TPD4EUSB30";;;
18;"Y1";"Crystal_SMD_2520-4Pin_2.5x2.0mm";1;"Crystal_GND24_Small";;;
19;"R18,R21,R20";"R_0402_1005Metric";3;"2";;;
20;"H3,H2,H1";"MountingHole_2.7mm_M2.5";3;"MountingHole";;;
21;"J12,J4";"MOLEX_USB_67298-4090";2;"690-008-221-904";;;
22;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
23;"J13";"PinSocket_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
24;"C14";"C_1210_3225Metric";1;"100uF";;;
25;"R2,R1,R11,R10";"R_0402_1005Metric";4;"2.2K 1%";;;
26;"D1";"LED_0603_1608Metric";1;"LED Green";;;
27;"D2";"LED_0603_1608Metric";1;"LED Red";;;
28;"J7,J5";"PinSocket_2x02_P2.54mm_Vertical";2;"Conn_02x02_Odd_Even";;;
29;"U7";"QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm";1;"USB2514B-I/M2";;;
30;"U1";"SOT-353_SC-70-5";1;"74LVC1G07SE-7";;;
31;"J9";"PinHeader_2x20_P2.54mm_Vertical";1;"header";;;
32;"U9";"SOT-23-6";1;"AP22653W6";;;
33;"U11";"SOT-23";1;"RT9742SNGV";;;
34;"R17";"R_0402_1005Metric";1;"15K 1%";;;
35;"R8,R9";"R_0402_1005Metric";2;"470R";;;
36;"D6,D5";"D_MELF";2;"D";;;
37;"U2";"SOT-23-5";1;"RT9742GGJ5";;;
38;"R5,R6";"R_0402_1005Metric";2;"nf";;;
39;"U10";"SOT-23-5";1;"74LVC1G04";;;
40;"Q1";"PowerPAK_1212_Dual";1;"Q_Dual_PMOS_S1G1S2G2D2D2D1D1";;;
41;"J8";"SDCARD_MOLEX_503398-1892";1;"Micro_SD_Card_Det";;;
